Time,forward,right,left_speed,right_speed
1100964608,196,161,1.6400352,-1.0933567
1100970216,196,161,2.1882734,-1.0941367
1100975828,196,161,1.6400352,-0.54667836
1100981436,196,161,1.641205,-1.0941367
1100987048,196,161,1.6400352,-0.54667836
1100992656,196,161,1.641205,-1.0941367
1100998268,196,161,1.6400352,-1.0933567
1101003876,196,161,1.641205,-0.54706836
1101009488,196,161,2.1867135,-0.54667836
1101015096,196,161,1.0941367,-1.0941367
1101020716,196,161,1.6377007,-1.0918005
1101026324,196,161,1.641205,-0.54706836
1101031928,196,161,1.0949175,-1.0949175
1101037536,196,161,1.641205,-0.54706836
1101043148,196,161,1.6400352,-1.0933567
1101048756,196,161,1.641205,-0.54706836
1101054368,196,161,1.6400352,-1.0933567
1101059976,196,161,1.641205,-1.0941367
1101065588,196,161,1.6400352,-0.54667836
1101071196,196,161,1.641205,-1.0941367
1101076808,196,161,2.1867135,-0.54667836
1101082416,196,161,1.641205,-1.0941367
1101088028,196,161,2.1867135,-1.0933567
1101093636,196,161,1.641205,-0.54706836
1101099248,196,161,2.1867135,-1.0933567
1101104856,196,161,1.641205,-0.54706836
1101110468,196,161,2.1867135,-0.54667836
1101116076,196,161,1.641205,-1.0941367
1101121688,196,161,1.6400352,-0.54667836
1101127296,196,161,2.1882734,-0.54706836
1101132908,196,161,1.6400352,-0.54667836
1101138516,196,161,1.641205,-1.0941367
1101144128,196,161,2.1867135,-0.54667836
1101149736,196,161,1.641205,-1.0941367
1101155348,196,161,1.6400352,-0.54667836
1101160956,196,161,1.641205,-0.54706836
1101166568,196,161,1.6400352,-1.0933567
1101172176,196,161,1.641205,-1.0941367
1101177788,196,161,2.1867135,-0.54667836
1101183396,196,161,1.641205,-1.0941367
1101189008,196,161,1.6400352,-0.54667836
1101194616,196,161,1.641205,-1.0941367
1101200228,196,161,2.1867135,-0.54667836
1101205836,196,161,1.641205,-0.54706836
1101211448,196,161,1.6400352,-0.54667836
1101217056,196,161,1.641205,-0.54706836
1101222668,196,161,1.6400352,-1.0933567
1101228276,196,161,1.641205,-0.54706836
1101233888,196,161,1.6400352,-0.54667836
1101239496,196,161,1.641205,-1.0941367
1101245108,196,161,1.6400352,-0.54667836
1101250716,196,161,1.641205,-0.54706836
1101256328,196,161,1.6400352,-0.54667836
1101261936,196,161,1.0941367,-0.54706836
1101267548,196,161,1.6400352,-0.54667836
1101273156,196,161,1.641205,-0.54706836
1101278768,196,161,1.6400352,-1.0933567
1101284376,196,161,1.641205,-0.54706836
1101289988,196,161,1.6400352,-0.54667836
1101295596,196,161,1.641205,-1.0941367
1101301208,196,161,2.1867135,-0.54667836
1101306816,196,161,1.641205,-1.0941367
1101312428,196,161,1.6400352,-0.54667836
1101318036,196,161,1.641205,-1.0941367
1101323648,196,161,1.6400352,-1.0933567
1101329256,196,161,1.641205,-0.54706836
1101334868,196,161,1.6400352,-1.0933567
1101340476,196,161,1.641205,-1.0941367
1101346088,196,161,1.6400352,-0.54667836
1101351696,196,161,1.641205,-1.0941367
1101357308,196,161,2.1867135,-1.0933567
1101362916,196,161,1.641205,-0.54706836
1101368528,196,161,1.6400352,-1.0933567
1101374136,196,161,1.641205,-1.0941367
1101379748,196,161,1.6400352,-0.54667836
1101385356,196,161,1.641205,-1.0941367
1101390968,196,161,1.6400352,-0.54667836
1101396576,196,161,1.641205,-1.0941367
1101402188,196,161,1.6400352,-1.0933567
1101407796,196,161,2.1882734,-0.54706836
1101413408,196,161,1.6400352,-1.0933567
1101419016,196,161,1.0941367,-0.54706836
1101424628,196,161,2.1867135,-1.0933567
1101430236,196,161,2.1882734,-0.54706836
1101435848,196,161,1.6400352,-0.54667836
1101441456,196,161,1.0941367,-1.0941367
1101447068,196,161,1.6400352,-0.54667836
1101452676,196,161,1.0941367,-1.0941367
1101458288,196,161,1.6400352,-1.0933567
1101463896,196,161,1.0941367,-0.54706836
1101469508,196,161,1.6400352,-1.0933567
1101475116,196,161,1.0941367,-0.54706836
1101480728,196,161,1.6400352,-1.0933567
1101486336,196,161,1.0941367,-0.54706836
1101491948,196,161,1.6400352,-0.54667836
1101497556,196,161,1.641205,-1.0941367
1101503168,196,161,2.1867135,-0.54667836
1101508776,196,161,1.641205,-1.0941367
1101514388,196,161,1.0933567,-0.54667836
1101519996,196,161,1.0941367,-0.54706836
1101525608,196,161,1.6400352,-1.0933567
1101531216,196,161,1.0941367,-0.54706836
1101536828,196,161,1.6400352,-0.54667836
1101542436,196,161,2.1882734,-0.54706836
1101548048,196,161,1.6400352,-1.0933567
1101553656,196,161,1.641205,-0.54706836
1101559268,196,161,1.6400352,-1.0933567
1101564876,196,161,1.0941367,-0.54706836
1101570488,196,161,2.1867135,-0.54667836
1101576096,196,161,1.641205,-1.0941367
1101581708,196,161,2.1867135,-0.54667836
1101587316,196,161,1.641205,-0.54706836
1101592928,196,161,1.6400352,-1.0933567
1101598536,196,161,2.1882734,-0.54706836
1101604148,196,161,1.6400352,-1.0933567
1101609756,196,161,1.641205,-0.54706836
1101615368,196,161,2.1867135,-0.54667836
1101620976,196,161,1.641205,-1.0941367
1101626588,196,161,2.1867135,-0.54667836
1101632196,196,161,1.641205,-1.0941367
1101637808,196,161,1.6400352,-0.54667836
1101643424,196,161,2.185156,-1.092578
1101649028,196,161,1.6423764,-1.0949175
1101654636,196,161,1.641205,-0.54706836
1101660248,196,161,2.1867135,-1.0933567
1101665856,196,161,1.641205,-0.54706836
1101671468,196,161,1.6400352,-1.0933567
1101677076,196,161,2.1882734,-0.54706836
1101682692,196,161,1.638867,-1.092578
1101688296,196,161,1.6423764,-0.54745877
1101693908,196,161,2.1867135,-1.0933567
1101699516,196,161,1.641205,-0.54706836
1101705128,196,161,2.1867135,-1.0933567
1101710736,196,161,1.641205,-0.54706836
1101716348,196,161,2.1867135,-1.0933567
1101721956,196,161,1.641205,-0.54706836
1101727568,196,161,1.6400352,-0.54667836
1101733176,196,161,1.641205,-1.0941367
1101738788,196,161,1.6400352,-0.54667836
1101744396,196,161,1.641205,-1.0941367
1101750020,196,161,1.6365358,-1.0910238
1101755616,196,161,2.1929657,-0.54824144
1101761228,196,161,1.6400352,0
1101766836,196,161,1.0941367,-0.54706836
1101772452,196,161,2.185156,0
1101778056,196,161,1.0949175,-0.54745877
1101783668,196,161,1.6400352,-0.54667836
1101789276,196,161,1.641205,-1.0941367
1101794888,196,161,1.6400352,-0.54667836
1101800496,196,161,1.641205,-0.54706836
1101806108,196,161,1.6400352,-1.0933567
1101811724,196,161,1.638867,-0.546289
1101817328,196,161,1.6423764,-1.0949175
1101822936,196,161,1.641205,-0.54706836
1101828548,196,161,1.6400352,-0.54667836
1101834156,196,161,1.641205,-1.0941367
1101839768,196,161,1.6400352,-0.54667836
1101845376,196,161,1.641205,-0.54706836
1101850988,196,161,1.6400352,-1.0933567
1101856596,196,161,1.0941367,-0.54706836
1101862208,196,161,1.6400352,-0.54667836
1101867828,196,161,1.6377007,-1.0918005
1101873428,196,161,1.6435494,-0.54784983
1101879036,196,161,1.641205,-0.54706836
1101884648,196,161,1.0933567,-1.0933567
1101890256,196,161,1.641205,-0.54706836
1101895868,196,161,1.6400352,-0.54667836
1101901476,196,161,1.641205,-1.0941367
1101907088,196,161,1.0933567,-0.54667836
1101912696,196,161,1.641205,-0.54706836
1101918308,196,161,1.6400352,-1.0933567
1101923916,196,161,1.641205,-0.54706836
1101929528,196,161,1.6400352,-1.0933567
1101935136,196,161,1.641205,-1.0941367
1101940752,196,161,1.638867,-0.546289
1101946356,196,161,2.189835,-1.0949175
1101951968,196,161,1.6400352,-1.0933567
1101957576,196,161,1.0941367,-0.54706836
1101963188,196,161,1.6400352,-1.0933567
1101968808,196,161,1.6377007,-1.0918005
1101974408,196,161,1.6435494,-0.54784983
1101980016,196,161,2.7353415,-1.0941367
1101985628,196,161,0.54667836,-1.0933567
1101991236,196,161,0.54706836,-0.54706836
1101996848,196,161,1.6400352,-1.0933567
1102002456,196,161,2.1882734,-0.54706836
1102008068,196,161,2.1867135,-1.0933567
1102013676,196,161,1.641205,-0.54706836
1102019288,196,161,3.2800703,-1.0933567
1102024896,196,161,1.641205,-0.54706836
1102030508,196,161,2.733392,-1.0933567
1102036116,196,161,2.1882734,-0.54706836
1102041728,196,161,1.0933567,-0.54667836
1102047336,196,161,1.641205,-1.0941367
1102052948,196,161,1.6400352,-0.54667836
1102058568,196,161,2.183601,-1.0918005
1102064168,196,161,1.6435494,-0.54784983
1102069780,196,161,1.6400352,-1.0933567
1102075388,196,161,1.641205,-1.0941367
1102080996,196,161,1.641205,-0.54706836
1102086608,196,161,2.1867135,-1.0933567
1102092216,196,161,1.641205,-0.54706836
1102097828,196,161,1.6400352,-1.0933567
1102103436,196,161,2.1882734,-0.54706836
1102109048,196,161,2.1867135,-1.0933567
1102114656,196,161,1.641205,-0.54706836
1102120268,196,161,1.6400352,-0.54667836
1102125876,196,161,1.641205,-1.0941367
1102131488,196,161,2.1867135,-0.54667836
1102137096,196,161,1.641205,-0.54706836
1102142708,196,161,1.6400352,-1.0933567
1102148316,196,161,1.641205,-0.54706836
1102153928,196,161,2.1867135,-0.54667836
1102159536,196,161,1.641205,-1.0941367
1102165148,196,161,2.1867135,-0.54667836
1102170756,196,161,1.641205,-1.0941367
1102176368,196,161,1.6400352,-0.54667836
1102181976,196,161,1.0941367,-0.54706836
1102187588,196,161,1.6400352,-1.0933567
1102193196,196,161,2.1882734,-0.54706836
1102198808,196,161,1.0933567,-0.54667836
1102204416,196,161,1.641205,-1.0941367
1102210028,196,161,1.6400352,-0.54667836
1102215636,196,161,2.1882734,-1.0941367
1102221248,196,161,1.6400352,-0.54667836
1102226856,196,161,2.1882734,-1.0941367
1102232468,196,161,1.6400352,-0.54667836
1102238076,196,161,1.641205,-1.0941367
1102243688,196,161,2.1867135,-1.0933567
1102249296,196,161,1.641205,-0.54706836
1102254908,196,161,1.6400352,-1.0933567
1102260516,196,161,1.641205,-1.0941367
1102266128,196,161,1.6400352,-0.54667836
1102271736,196,161,1.0941367,-1.0941367
1102277348,196,161,1.6400352,-1.0933567
1102282956,196,161,1.0941367,-1.0941367
1102288568,196,161,1.6400352,-1.0933567
1102294176,196,161,1.0941367,-1.641205
1102299788,196,161,1.0933567,-1.0933567
1102305396,196,161,1.0941367,-1.0941367
1102311008,196,161,1.0933567,-0.54667836
1102316616,196,161,1.0941367,-1.0941367
1102322228,196,161,1.6400352,-0.54667836
1102327836,196,161,1.641205,-0.54706836
1102333448,196,161,1.6400352,-1.0933567
1102339056,196,161,1.641205,-0.54706836
1102344668,196,161,1.6400352,-0.54667836
1102350276,196,161,1.641205,-1.0941367
1102355888,196,161,1.6400352,-0.54667836
1102361496,196,161,1.641205,-1.0941367
1102367108,196,161,1.6400352,-1.0933567
1102372716,196,161,1.641205,-0.54706836
1102378328,196,161,1.6400352,-0.54667836
1102383936,196,161,1.0941367,-1.0941367
1102389548,196,161,1.6400352,-1.0933567
1102395156,196,161,1.0941367,-0.54706836
1102400768,196,161,2.1867135,-1.0933567
1102406376,196,161,1.0941367,-0.54706836
1102411988,196,161,1.6400352,-1.0933567
1102417596,196,161,1.641205,-0.54706836
1102423208,196,161,2.1867135,-1.0933567
1102428816,196,161,2.1882734,-0.54706836
1102434428,196,161,1.6400352,-0.54667836
1102440036,196,161,1.641205,-1.0941367
1102445648,196,161,1.6400352,-0.54667836
1102451256,196,161,-0.54706836,-1.0941367
1102456868,196,161,1.6400352,-0.54667836
1102462476,196,161,1.641205,-0.54706836
1102468088,196,161,1.6400352,-1.0933567
1102473696,196,161,1.641205,-0.54706836
1102479308,196,161,1.6400352,-0.54667836
1102484916,196,161,2.1882734,-1.0941367
1102490528,196,161,1.6400352,-0.54667836
1102496136,196,161,1.641205,-0.54706836
1102501748,196,161,1.6400352,-1.0933567
1102507356,196,161,2.1882734,-0.54706836
1102512968,196,161,1.6400352,-0.54667836
1102518576,196,161,2.1882734,-0.54706836
1102524188,196,161,2.1867135,-1.0933567
1102529796,196,161,2.1882734,-0.54706836
1102535408,196,161,1.6400352,-1.0933567
1102541016,196,161,1.641205,-0.54706836
1102546628,196,161,2.1867135,-0.54667836
1102552236,196,161,1.641205,-1.0941367
1102557848,196,161,2.1867135,-0.54667836
1102563456,196,161,1.641205,-1.0941367
1102569068,196,161,1.6400352,-0.54667836
1102574676,196,161,2.1882734,-0.54706836
1102580288,196,161,1.6400352,-1.0933567
1102585896,196,161,1.641205,-0.54706836
1102591508,196,161,1.6400352,-1.0933567
1102597116,196,161,2.1882734,-1.0941367
